date,weekday,weather,temperature,is_holiday,ticket_price,event,visitors,high_attendance
2020-02-13,Thursday,sunny,-5,0,800,0,2161,0
2020-02-14,Friday,sunny,-8,0,500,0,2014,0
2020-02-15,Saturday,cloudy,-8,1,800,1,2836,1
2020-02-16,Sunday,sunny,-7,1,800,0,3252,1
2020-02-17,Monday,sunny,1,0,700,0,1882,0
2020-02-18,Tuesday,snowy,-8,0,600,1,877,0
2020-02-19,Wednesday,cloudy,1,0,700,0,952,0
2020-02-20,Thursday,sunny,-8,0,800,0,2383,0
2020-02-21,Friday,sunny,1,0,600,1,1951,0
2020-02-22,Saturday,snowy,-10,1,600,1,2956,1
2020-02-23,Sunday,sunny,-6,1,800,1,3745,1
2020-02-24,Monday,cloudy,4,0,600,0,1185,0
2020-02-25,Tuesday,sunny,4,0,600,0,1443,0
2020-02-26,Wednesday,rainy,-10,0,800,0,370,0
2020-02-27,Thursday,cloudy,-1,0,700,0,1420,0
2020-02-28,Friday,cloudy,1,0,600,0,535,0
2020-02-29,Saturday,rainy,-10,1,800,0,1593,0
2020-03-01,Sunday,rainy,16,1,600,0,1624,0
2020-03-02,Monday,sunny,17,0,600,0,1157,0
2020-03-03,Tuesday,cloudy,9,0,500,1,2622,1
2020-03-04,Wednesday,cloudy,8,0,600,0,1383,0
2020-03-05,Thursday,cloudy,7,0,700,0,1155,0
2020-03-06,Friday,snowy,16,0,600,0,837,0
2020-03-07,Saturday,sunny,16,1,600,0,2829,1
2020-03-08,Sunday,sunny,13,1,800,0,3726,1
2020-03-09,Monday,cloudy,10,0,800,0,1760,0
2020-03-10,Tuesday,sunny,17,0,700,0,1626,0
2020-03-11,Wednesday,sunny,14,0,800,0,2193,0
2020-03-12,Thursday,sunny,9,0,700,0,2209,0
2020-03-13,Friday,cloudy,14,0,600,0,1050,0
2020-03-14,Saturday,sunny,9,1,700,0,3024,1
2020-03-15,Sunday,sunny,7,1,600,0,3354,1
2020-03-16,Monday,cloudy,11,0,600,0,1395,0
2020-03-17,Tuesday,cloudy,8,0,800,0,879,0
2020-03-18,Wednesday,sunny,17,0,700,1,3583,1
2020-03-19,Thursday,cloudy,15,0,800,0,511,0
2020-03-20,Friday,sunny,6,0,500,0,923,0
2020-03-21,Saturday,sunny,14,1,600,0,2226,0
2020-03-22,Sunday,cloudy,6,1,500,1,3379,1
2020-03-23,Monday,sunny,13,0,800,1,3064,1
2020-03-24,Tuesday,sunny,9,0,800,0,1294,0
2020-03-25,Wednesday,sunny,5,0,500,0,1869,0
2020-03-26,Thursday,sunny,7,0,500,0,1476,0
2020-03-27,Friday,rainy,13,0,700,1,1714,0
2020-03-28,Saturday,cloudy,9,1,500,0,2716,1
2020-03-29,Sunday,rainy,11,1,800,0,1759,0
2020-03-30,Monday,snowy,14,0,500,0,798,0
2020-03-31,Tuesday,rainy,16,0,500,0,391,0
2020-04-01,Wednesday,sunny,11,0,600,0,1361,0
2020-04-02,Thursday,rainy,14,0,600,0,1067,0
2020-04-03,Friday,snowy,17,0,500,1,1200,0
2020-04-04,Saturday,cloudy,8,1,600,0,1825,0
2020-04-05,Sunday,rainy,14,1,600,0,2427,0
2020-04-06,Monday,sunny,16,0,600,0,1730,0
2020-04-07,Tuesday,sunny,13,0,700,0,1336,0
2020-04-08,Wednesday,cloudy,16,0,500,0,1428,0
2020-04-09,Thursday,sunny,10,0,600,0,1643,0
2020-04-10,Friday,sunny,9,0,800,0,1230,0
2020-04-11,Saturday,sunny,7,1,800,0,2082,0
2020-04-12,Sunday,cloudy,5,1,500,0,3137,1
2020-04-13,Monday,rainy,15,0,800,1,1485,0
2020-04-14,Tuesday,cloudy,16,0,500,0,1175,0
2020-04-15,Wednesday,cloudy,14,0,800,0,1231,0
2020-04-16,Thursday,sunny,8,0,800,0,1902,0
2020-04-17,Friday,sunny,9,0,800,0,2108,0
2020-04-18,Saturday,sunny,10,1,600,0,2666,1
2020-04-19,Sunday,snowy,6,1,700,0,2451,0
2020-04-20,Monday,cloudy,5,0,700,0,562,0
2020-04-21,Tuesday,sunny,15,0,700,0,1002,0
2020-04-22,Wednesday,sunny,9,0,800,0,1711,0
2020-04-23,Thursday,cloudy,9,0,500,0,582,0
2020-04-24,Friday,sunny,13,0,600,0,1929,0
2020-04-25,Saturday,rainy,12,1,800,0,1127,0
2020-04-26,Sunday,cloudy,6,1,600,0,1520,0
2020-04-27,Monday,snowy,15,0,500,0,764,0
2020-04-28,Tuesday,cloudy,9,0,500,0,574,0
2020-04-29,Wednesday,sunny,10,0,800,0,1910,0
2020-04-30,Thursday,cloudy,15,0,700,1,1413,0
2020-05-01,Friday,cloudy,16,0,600,0,580,0
2020-05-02,Saturday,snowy,8,1,600,1,2520,1
2020-05-03,Sunday,snowy,9,1,600,0,1335,0
2020-05-04,Monday,sunny,13,0,700,0,1267,0
2020-05-05,Tuesday,cloudy,8,0,800,0,780,0
2020-05-06,Wednesday,rainy,7,0,700,0,239,0
2020-05-07,Thursday,sunny,9,0,500,0,2014,0
2020-05-08,Friday,sunny,5,0,500,0,1190,0
2020-05-09,Saturday,sunny,14,1,500,0,2587,1
2020-05-10,Sunday,cloudy,12,1,600,0,1819,0
2020-05-11,Monday,sunny,8,0,500,0,2378,0
2020-05-12,Tuesday,sunny,10,0,600,0,1092,0
2020-05-13,Wednesday,rainy,14,0,600,0,1176,0
2020-05-14,Thursday,cloudy,11,0,600,0,1797,0
2020-05-15,Friday,cloudy,7,0,700,0,984,0
2020-05-16,Saturday,sunny,11,1,500,1,3219,1
2020-05-17,Sunday,rainy,8,1,500,0,1190,0
2020-05-18,Monday,cloudy,8,0,700,0,1122,0
2020-05-19,Tuesday,rainy,5,0,800,0,624,0
2020-05-20,Wednesday,sunny,14,0,800,0,1490,0
2020-05-21,Thursday,sunny,10,0,500,0,1938,0
2020-05-22,Friday,rainy,12,0,700,1,1998,0
2020-05-23,Saturday,cloudy,8,1,800,0,2398,0
2020-05-24,Sunday,snowy,10,1,600,0,1636,0
2020-05-25,Monday,rainy,15,0,800,0,173,0
2020-05-26,Tuesday,sunny,14,0,600,0,1747,0
2020-05-27,Wednesday,rainy,16,0,700,0,634,0
2020-05-28,Thursday,sunny,15,0,700,0,1067,0
2020-05-29,Friday,cloudy,14,0,800,0,1691,0
2020-05-30,Saturday,rainy,5,1,700,0,2102,0
2020-05-31,Sunday,cloudy,10,1,700,0,2898,1
2020-06-01,Monday,rainy,29,0,600,0,217,0
2020-06-02,Tuesday,snowy,29,0,700,0,1158,0
2020-06-03,Wednesday,rainy,25,0,700,0,254,0
2020-06-04,Thursday,sunny,22,0,500,1,2359,0
2020-06-05,Friday,sunny,27,0,500,0,1940,0
2020-06-06,Saturday,rainy,23,1,500,0,1662,0
2020-06-07,Sunday,rainy,24,1,600,0,707,0
2020-06-08,Monday,cloudy,20,0,700,0,1053,0
2020-06-09,Tuesday,sunny,18,0,800,0,2141,0
2020-06-10,Wednesday,snowy,26,0,500,0,962,0
2020-06-11,Thursday,sunny,23,0,600,0,1781,0
2020-06-12,Friday,rainy,21,0,500,0,158,0
2020-06-13,Saturday,cloudy,21,1,800,0,1920,0
2020-06-14,Sunday,cloudy,21,1,600,0,1927,0
2020-06-15,Monday,sunny,27,0,800,0,1533,0
2020-06-16,Tuesday,cloudy,28,0,800,1,2166,0
2020-06-17,Wednesday,cloudy,25,0,800,0,1503,0
2020-06-18,Thursday,cloudy,21,0,500,1,1231,0
2020-06-19,Friday,rainy,27,0,500,0,891,0
2020-06-20,Saturday,snowy,23,1,700,0,2021,0
2020-06-21,Sunday,sunny,21,1,600,1,4620,1
2020-06-22,Monday,sunny,22,0,500,0,1228,0
2020-06-23,Tuesday,cloudy,20,0,700,0,574,0
2020-06-24,Wednesday,snowy,24,0,600,0,630,0
2020-06-25,Thursday,cloudy,28,0,800,1,2868,1
2020-06-26,Friday,cloudy,21,0,600,0,1684,0
2020-06-27,Saturday,sunny,28,1,600,0,3015,1
2020-06-28,Sunday,sunny,23,1,600,0,2526,1
2020-06-29,Monday,sunny,20,0,700,0,1115,0
2020-06-30,Tuesday,cloudy,25,0,700,0,1089,0
2020-07-01,Wednesday,rainy,19,0,600,0,1323,0
2020-07-02,Thursday,cloudy,20,0,700,0,1787,0
2020-07-03,Friday,rainy,24,0,700,0,82,0
2020-07-04,Saturday,rainy,24,1,800,1,3039,1
2020-07-05,Sunday,cloudy,25,1,600,0,3030,1
2020-07-06,Monday,rainy,29,0,700,0,308,0
2020-07-07,Tuesday,rainy,25,0,600,1,916,0
2020-07-08,Wednesday,sunny,24,0,800,0,1279,0
2020-07-09,Thursday,rainy,20,0,800,0,380,0
2020-07-10,Friday,snowy,22,0,800,0,937,0
2020-07-11,Saturday,sunny,24,1,800,1,3336,1
2020-07-12,Sunday,sunny,21,1,600,0,2962,1
2020-07-13,Monday,cloudy,24,0,800,0,1638,0
2020-07-14,Tuesday,cloudy,26,0,800,0,1724,0
2020-07-15,Wednesday,sunny,28,0,600,1,1877,0
2020-07-16,Thursday,cloudy,22,0,700,1,1168,0
2020-07-17,Friday,cloudy,23,0,600,0,1676,0
2020-07-18,Saturday,cloudy,29,1,700,0,1567,0
2020-07-19,Sunday,snowy,23,1,700,0,1707,0
2020-07-20,Monday,sunny,18,0,600,0,2058,0
2020-07-21,Tuesday,sunny,29,0,600,0,1909,0
2020-07-22,Wednesday,rainy,22,0,700,0,863,0
2020-07-23,Thursday,rainy,25,0,700,1,1407,0
2020-07-24,Friday,snowy,22,0,800,0,903,0
2020-07-25,Saturday,sunny,21,1,700,1,3198,1
2020-07-26,Sunday,cloudy,26,1,500,0,2500,0
2020-07-27,Monday,cloudy,27,0,500,0,630,0
2020-07-28,Tuesday,sunny,29,0,800,1,2198,0
2020-07-29,Wednesday,sunny,28,0,700,1,3237,1
2020-07-30,Thursday,cloudy,29,0,600,1,1998,0
2020-07-31,Friday,rainy,22,0,600,0,1499,0
2020-08-01,Saturday,snowy,29,1,700,0,1979,0
2020-08-02,Sunday,sunny,24,1,500,0,2814,1
2020-08-03,Monday,sunny,22,0,700,0,1984,0
2020-08-04,Tuesday,cloudy,19,0,700,1,2335,0
2020-08-05,Wednesday,cloudy,24,0,500,0,1675,0
2020-08-06,Thursday,sunny,29,0,500,0,1774,0
2020-08-07,Friday,sunny,24,0,700,0,1811,0
2020-08-08,Saturday,rainy,26,1,500,0,1082,0
2020-08-09,Sunday,rainy,19,1,700,0,1708,0
2020-08-10,Monday,rainy,19,0,800,1,1589,0
2020-08-11,Tuesday,rainy,22,0,800,0,1186,0
2020-08-12,Wednesday,rainy,26,0,700,0,624,0
2020-08-13,Thursday,sunny,20,0,500,0,1268,0
2020-08-14,Friday,sunny,26,0,800,0,1782,0
2020-08-15,Saturday,sunny,25,1,800,0,2378,0
2020-08-16,Sunday,rainy,25,1,700,1,2242,0
2020-08-17,Monday,sunny,25,0,800,1,2918,1
2020-08-18,Tuesday,sunny,28,0,600,0,2241,0
2020-08-19,Wednesday,rainy,23,0,500,0,1156,0
2020-08-20,Thursday,rainy,20,0,800,1,1102,0
2020-08-21,Friday,snowy,20,0,800,0,961,0
2020-08-22,Saturday,rainy,26,1,500,1,3289,1
2020-08-23,Sunday,sunny,26,1,700,1,3190,1
2020-08-24,Monday,snowy,28,0,700,0,985,0
2020-08-25,Tuesday,sunny,28,0,500,0,2166,0
2020-08-26,Wednesday,snowy,29,0,500,1,2198,0
2020-08-27,Thursday,cloudy,20,0,600,0,1563,0
2020-08-28,Friday,cloudy,28,0,500,0,1785,0
2020-08-29,Saturday,cloudy,25,1,800,1,3557,1
2020-08-30,Sunday,sunny,22,1,600,0,2626,1
2020-08-31,Monday,rainy,27,0,500,0,409,0
2020-09-01,Tuesday,sunny,9,0,600,1,1993,0
2020-09-02,Wednesday,rainy,11,0,600,0,1215,0
2020-09-03,Thursday,snowy,5,0,800,0,552,0
2020-09-04,Friday,cloudy,7,0,800,0,913,0
2020-09-05,Saturday,sunny,13,1,800,1,3162,1
2020-09-06,Sunday,sunny,8,1,800,0,3279,1
2020-09-07,Monday,rainy,10,0,500,0,983,0
2020-09-08,Tuesday,cloudy,6,0,600,1,1970,0
2020-09-09,Wednesday,cloudy,7,0,800,0,1530,0
2020-09-10,Thursday,sunny,5,0,600,0,2204,0
2020-09-11,Friday,cloudy,14,0,600,0,1015,0
2020-09-12,Saturday,cloudy,13,1,700,0,2152,0
2020-09-13,Sunday,sunny,6,1,700,0,3541,1
2020-09-14,Monday,rainy,12,0,800,0,139,0
2020-09-15,Tuesday,rainy,8,0,600,0,1523,0
2020-09-16,Wednesday,rainy,6,0,500,0,1028,0
2020-09-17,Thursday,rainy,6,0,700,0,954,0
2020-09-18,Friday,sunny,9,0,800,0,1384,0
2020-09-19,Saturday,rainy,9,1,800,1,3093,1
2020-09-20,Sunday,sunny,11,1,500,0,3197,1
2020-09-21,Monday,sunny,12,0,800,0,1591,0
2020-09-22,Tuesday,cloudy,6,0,600,1,1708,0
2020-09-23,Wednesday,cloudy,13,0,500,1,1991,0
2020-09-24,Thursday,rainy,13,0,500,0,1210,0
2020-09-25,Friday,sunny,10,0,600,0,1713,0
2020-09-26,Saturday,sunny,6,1,500,0,2305,0
2020-09-27,Sunday,sunny,11,1,600,0,2174,0
2020-09-28,Monday,sunny,7,0,700,0,1645,0
2020-09-29,Tuesday,sunny,13,0,600,1,2834,1
2020-09-30,Wednesday,rainy,11,0,700,1,1623,0
2020-10-01,Thursday,rainy,7,0,700,0,1160,0
2020-10-02,Friday,sunny,10,0,800,0,2244,0
2020-10-03,Saturday,rainy,14,1,700,1,3106,1
2020-10-04,Sunday,cloudy,7,1,800,0,2835,1
2020-10-05,Monday,sunny,12,0,500,0,1757,0
2020-10-06,Tuesday,sunny,10,0,700,0,2033,0
2020-10-07,Wednesday,sunny,9,0,700,0,1226,0
2020-10-08,Thursday,cloudy,8,0,800,0,1446,0
2020-10-09,Friday,cloudy,8,0,600,0,1077,0
2020-10-10,Saturday,cloudy,8,1,600,0,2324,0
2020-10-11,Sunday,sunny,7,1,500,0,2775,1
2020-10-12,Monday,cloudy,11,0,600,0,833,0
2020-10-13,Tuesday,cloudy,9,0,500,0,1052,0
2020-10-14,Wednesday,sunny,12,0,700,0,1073,0
2020-10-15,Thursday,sunny,13,0,800,0,2312,0
2020-10-16,Friday,sunny,12,0,800,0,1402,0
2020-10-17,Saturday,sunny,14,1,700,0,3055,1
2020-10-18,Sunday,cloudy,8,1,800,0,2024,0
2020-10-19,Monday,sunny,8,0,800,0,1689,0
2020-10-20,Tuesday,cloudy,5,0,800,1,1521,0
2020-10-21,Wednesday,rainy,8,0,600,1,1495,0
2020-10-22,Thursday,sunny,5,0,700,0,1342,0
2020-10-23,Friday,sunny,5,0,700,0,1564,0
2020-10-24,Saturday,snowy,12,1,700,0,1237,0
2020-10-25,Sunday,rainy,12,1,700,0,2052,0
2020-10-26,Monday,sunny,8,0,800,1,2572,1
2020-10-27,Tuesday,snowy,5,0,700,0,322,0
2020-10-28,Wednesday,sunny,6,0,500,1,3380,1
2020-10-29,Thursday,cloudy,5,0,600,1,2330,0
2020-10-30,Friday,sunny,13,0,600,1,2756,1
2020-10-31,Saturday,cloudy,9,1,800,0,3146,1
2020-11-01,Sunday,sunny,13,1,500,0,3551,1
2020-11-02,Monday,sunny,13,0,700,1,3561,1
2020-11-03,Tuesday,cloudy,10,0,600,0,1500,0
2020-11-04,Wednesday,sunny,5,0,800,0,1318,0
2020-11-05,Thursday,sunny,11,0,700,0,2099,0
2020-11-06,Friday,cloudy,5,0,700,0,1790,0
2020-11-07,Saturday,cloudy,14,1,600,0,2310,0
2020-11-08,Sunday,rainy,6,1,600,1,2756,1
2020-11-09,Monday,sunny,9,0,700,0,1624,0
2020-11-10,Tuesday,rainy,10,0,600,0,764,0
2020-11-11,Wednesday,sunny,11,0,700,0,2063,0
2020-11-12,Thursday,snowy,8,0,700,0,347,0
2020-11-13,Friday,cloudy,7,0,600,0,1463,0
2020-11-14,Saturday,sunny,8,1,600,0,2695,1
2020-11-15,Sunday,cloudy,14,1,800,0,1789,0
2020-11-16,Monday,cloudy,13,0,600,0,1631,0
2020-11-17,Tuesday,sunny,11,0,700,0,1541,0
2020-11-18,Wednesday,snowy,8,0,800,0,1120,0
2020-11-19,Thursday,cloudy,11,0,600,1,1944,0
2020-11-20,Friday,sunny,13,0,700,0,1760,0
2020-11-21,Saturday,rainy,5,1,600,0,1694,0
2020-11-22,Sunday,rainy,11,1,600,1,3070,1
2020-11-23,Monday,cloudy,5,0,700,1,2302,0
2020-11-24,Tuesday,cloudy,10,0,800,0,918,0
2020-11-25,Wednesday,cloudy,14,0,500,0,1008,0
2020-11-26,Thursday,sunny,13,0,600,0,1658,0
2020-11-27,Friday,cloudy,14,0,600,0,958,0
2020-11-28,Saturday,snowy,7,1,800,0,1674,0
2020-11-29,Sunday,rainy,8,1,800,0,1367,0
2020-11-30,Monday,sunny,13,0,700,0,1876,0
2020-12-01,Tuesday,sunny,-6,0,800,1,1803,0
2020-12-02,Wednesday,sunny,-5,0,600,1,2630,1
2020-12-03,Thursday,cloudy,-7,0,800,0,952,0
2020-12-04,Friday,sunny,4,0,700,0,1452,0
2020-12-05,Saturday,cloudy,-4,1,800,0,2693,1
2020-12-06,Sunday,snowy,2,1,700,0,2752,1
2020-12-07,Monday,rainy,-3,0,800,0,437,0
2020-12-08,Tuesday,sunny,-5,0,600,0,1759,0
2020-12-09,Wednesday,cloudy,1,0,600,0,1008,0
2020-12-10,Thursday,sunny,-10,0,700,0,1500,0
2020-12-11,Friday,sunny,-2,0,500,0,1813,0
2020-12-12,Saturday,sunny,-1,1,800,1,3226,1
2020-12-13,Sunday,snowy,-6,1,800,0,2781,1
2020-12-14,Monday,cloudy,2,0,700,0,633,0
2020-12-15,Tuesday,sunny,-4,0,800,1,2776,1
2020-12-16,Wednesday,sunny,-9,0,700,0,1601,0
2020-12-17,Thursday,cloudy,2,0,600,0,594,0
2020-12-18,Friday,cloudy,3,0,800,0,880,0
2020-12-19,Saturday,sunny,-8,1,500,1,4548,1
2020-12-20,Sunday,sunny,2,1,800,0,2325,0
2020-12-21,Monday,sunny,3,0,800,0,1635,0
2020-12-22,Tuesday,sunny,0,0,600,0,1928,0
2020-12-23,Wednesday,sunny,-6,0,700,0,1525,0
2020-12-24,Thursday,snowy,2,0,700,0,286,0
2020-12-25,Friday,sunny,-8,0,500,0,1482,0
2020-12-26,Saturday,sunny,1,1,500,0,2742,1
2020-12-27,Sunday,sunny,2,1,800,0,2213,0
2020-12-28,Monday,rainy,4,0,600,0,776,0
2020-12-29,Tuesday,cloudy,-5,0,600,0,1097,0
2020-12-30,Wednesday,snowy,-4,0,600,0,459,0
2020-12-31,Thursday,rainy,-6,0,600,0,1136,0
2021-01-01,Friday,sunny,-1,0,600,0,1309,0
2021-01-02,Saturday,sunny,-10,1,700,0,2903,1
2021-01-03,Sunday,sunny,-6,1,600,0,3201,1
2021-01-04,Monday,cloudy,-2,0,500,0,1053,0
2021-01-05,Tuesday,rainy,2,0,500,1,1089,0
2021-01-06,Wednesday,snowy,-9,0,800,0,1411,0
2021-01-07,Thursday,snowy,1,0,800,0,768,0
2021-01-08,Friday,cloudy,0,0,600,0,578,0
2021-01-09,Saturday,rainy,-4,1,800,1,2516,1
2021-01-10,Sunday,cloudy,-3,1,500,0,1328,0
2021-01-11,Monday,cloudy,-8,0,800,0,1540,0
2021-01-12,Tuesday,snowy,-6,0,800,0,438,0
2021-01-13,Wednesday,sunny,4,0,700,0,1901,0
2021-01-14,Thursday,sunny,-6,0,500,0,1638,0
2021-01-15,Friday,cloudy,4,0,800,0,1746,0
2021-01-16,Saturday,rainy,-3,1,500,1,2612,1
2021-01-17,Sunday,sunny,-2,1,500,1,2824,1
2021-01-18,Monday,sunny,0,0,800,0,1739,0
2021-01-19,Tuesday,rainy,1,0,600,0,810,0
2021-01-20,Wednesday,snowy,-4,0,500,0,1022,0
2021-01-21,Thursday,sunny,-9,0,600,0,2282,0
2021-01-22,Friday,cloudy,-10,0,800,1,1664,0
2021-01-23,Saturday,sunny,-4,1,500,0,3119,1
2021-01-24,Sunday,rainy,-6,1,600,1,2468,0
2021-01-25,Monday,sunny,-5,0,600,1,2838,1
2021-01-26,Tuesday,cloudy,-7,0,700,1,1130,0
2021-01-27,Wednesday,rainy,0,0,500,0,993,0
2021-01-28,Thursday,sunny,-8,0,700,0,1273,0
2021-01-29,Friday,rainy,-6,0,700,0,1366,0
2021-01-30,Saturday,rainy,1,1,500,1,3376,1
2021-01-31,Sunday,sunny,-6,1,800,1,3110,1
2021-02-01,Monday,cloudy,-7,0,600,1,1878,0
2021-02-02,Tuesday,rainy,3,0,600,0,1269,0
2021-02-03,Wednesday,rainy,4,0,700,0,1434,0
2021-02-04,Thursday,sunny,4,0,500,0,1561,0
2021-02-05,Friday,sunny,-5,0,500,0,2074,0
2021-02-06,Saturday,sunny,3,1,800,0,2731,1
2021-02-07,Sunday,cloudy,-7,1,500,0,2232,0
2021-02-08,Monday,cloudy,-7,0,800,0,661,0
2021-02-09,Tuesday,cloudy,-8,0,700,0,1414,0
2021-02-10,Wednesday,cloudy,3,0,700,0,1632,0
2021-02-11,Thursday,rainy,-1,0,600,0,976,0
2021-02-12,Friday,cloudy,2,0,800,0,612,0
2021-02-13,Saturday,cloudy,-9,1,700,0,2437,0
2021-02-14,Sunday,rainy,0,1,500,1,2122,0
2021-02-15,Monday,cloudy,4,0,700,0,577,0
2021-02-16,Tuesday,rainy,-4,0,500,1,1709,0
2021-02-17,Wednesday,snowy,-8,0,500,0,436,0
2021-02-18,Thursday,sunny,-10,0,700,0,1981,0
2021-02-19,Friday,rainy,-1,0,700,0,0,0
2021-02-20,Saturday,cloudy,-6,1,800,0,3120,1
2021-02-21,Sunday,rainy,-9,1,700,0,1619,0
2021-02-22,Monday,cloudy,1,0,500,0,1484,0
2021-02-23,Tuesday,snowy,3,0,800,0,372,0
2021-02-24,Wednesday,sunny,-8,0,700,1,2511,1
2021-02-25,Thursday,cloudy,-2,0,500,0,1340,0
2021-02-26,Friday,cloudy,-3,0,700,0,749,0
2021-02-27,Saturday,cloudy,-6,1,800,0,2931,1
2021-02-28,Sunday,sunny,-3,1,700,1,4231,1
2021-03-01,Monday,cloudy,13,0,500,1,2685,1
2021-03-02,Tuesday,cloudy,14,0,500,0,870,0
2021-03-03,Wednesday,snowy,16,0,500,0,283,0
2021-03-04,Thursday,rainy,14,0,500,1,2118,0
2021-03-05,Friday,snowy,17,0,600,0,174,0
2021-03-06,Saturday,rainy,5,1,500,0,1742,0
2021-03-07,Sunday,cloudy,9,1,600,0,2345,0
2021-03-08,Monday,sunny,7,0,500,0,1730,0
2021-03-09,Tuesday,rainy,10,0,800,0,719,0
2021-03-10,Wednesday,rainy,5,0,800,0,557,0
2021-03-11,Thursday,cloudy,8,0,600,0,875,0
2021-03-12,Friday,sunny,10,0,800,1,2382,0
2021-03-13,Saturday,cloudy,6,1,500,0,2363,0
2021-03-14,Sunday,sunny,7,1,600,0,2655,1
2021-03-15,Monday,sunny,9,0,700,0,1652,0
2021-03-16,Tuesday,sunny,16,0,800,0,1880,0
2021-03-17,Wednesday,sunny,13,0,700,0,1140,0
2021-03-18,Thursday,cloudy,16,0,800,0,885,0
2021-03-19,Friday,sunny,7,0,500,1,2043,0
2021-03-20,Saturday,sunny,12,1,500,0,3064,1
2021-03-21,Sunday,rainy,10,1,700,1,2774,1
2021-03-22,Monday,cloudy,9,0,500,0,1685,0
2021-03-23,Tuesday,sunny,10,0,600,0,1582,0
2021-03-24,Wednesday,sunny,8,0,500,1,3022,1
2021-03-25,Thursday,rainy,8,0,600,0,451,0
2021-03-26,Friday,sunny,15,0,600,1,2111,0
2021-03-27,Saturday,rainy,14,1,800,0,2014,0
2021-03-28,Sunday,sunny,8,1,600,0,3092,1
2021-03-29,Monday,cloudy,11,0,800,0,772,0
2021-03-30,Tuesday,rainy,15,0,600,1,1713,0
2021-03-31,Wednesday,sunny,7,0,800,0,2323,0
2021-04-01,Thursday,rainy,16,0,500,1,1717,0
2021-04-02,Friday,sunny,14,0,500,0,1132,0
2021-04-03,Saturday,sunny,13,1,500,0,2909,1
2021-04-04,Sunday,rainy,16,1,500,1,3491,1
2021-04-05,Monday,sunny,15,0,700,0,1906,0
2021-04-06,Tuesday,sunny,9,0,800,0,1675,0
2021-04-07,Wednesday,cloudy,14,0,600,0,582,0
2021-04-08,Thursday,snowy,7,0,600,0,116,0
2021-04-09,Friday,snowy,13,0,700,0,658,0
2021-04-10,Saturday,rainy,12,1,600,0,1854,0
2021-04-11,Sunday,sunny,5,1,800,0,3797,1
2021-04-12,Monday,rainy,8,0,700,1,1589,0
2021-04-13,Tuesday,cloudy,13,0,800,0,1194,0
2021-04-14,Wednesday,cloudy,5,0,800,0,1558,0
2021-04-15,Thursday,sunny,6,0,500,0,2299,0
2021-04-16,Friday,snowy,8,0,700,1,1112,0
2021-04-17,Saturday,sunny,11,1,700,0,2697,1
2021-04-18,Sunday,rainy,13,1,700,1,2810,1
2021-04-19,Monday,cloudy,8,0,500,0,631,0
